0.000000	0.707107	1.000000	0.707107
0.049979	0.774167	0.995004	0.774167
0.099833	0.833492	0.980067	0.833492
0.149438	0.884489	0.955336	0.884489
0.198669	0.926649	0.921061	0.926649
0.247404	0.959550	0.877582	0.959550
0.295520	0.982863	0.825336	0.982863
0.342898	0.996356	0.764842	0.996356
0.389418	0.999893	0.696707	0.999893
0.434966	0.993440	0.621610	0.993440
0.479426	0.977061	0.540302	0.977061
0.522687	0.950920	0.453596	0.950920
0.564643	0.915277	0.362358	0.915277
0.605186	0.870489	0.267498	0.870489
0.644218	0.817003	0.169967	0.817003
0.681639	0.755354	0.070737	0.755354
0.717356	0.686158	-0.029200	0.686158
0.751280	0.610106	-0.128845	0.610106
0.783327	0.527958	-0.227202	0.527958
0.813416	0.440535	-0.323290	0.440535
0.841471	0.348710	-0.416147	0.348710
0.867423	0.253401	-0.504846	0.253401
0.891207	0.155560	-0.588501	0.155560
0.912764	0.056165	-0.666276	0.056165
0.932039	-0.043791	-0.737394	-0.043791
0.948985	-0.143310	-0.801143	-0.143310
0.963558	-0.241397	-0.856889	-0.241397
0.975723	-0.337072	-0.904072	-0.337072
0.985450	-0.429379	-0.942222	-0.429379
0.992713	-0.517396	-0.970958	-0.517396
0.997495	-0.600243	-0.989992	-0.600243
0.999784	-0.677093	-0.999135	-0.677093
0.999574	-0.747177	-0.998295	-0.747177
0.996865	-0.809796	-0.987480	-0.809796
0.991665	-0.864324	-0.966798	-0.864324
0.983986	-0.910216	-0.936457	-0.910216
0.973848	-0.947013	-0.896759	-0.947013
0.961275	-0.974348	-0.848101	-0.974348
0.946300	-0.991947	-0.790969	-0.991947
0.928960	-0.999636	-0.725933	-0.999636
0.909298	-0.997336	-0.653645	-0.997336
0.887363	-0.985071	-0.574825	-0.985071
0.863210	-0.962964	-0.490262	-0.962964
0.836899	-0.931236	-0.400801	-0.931236
0.808497	-0.890202	-0.307334	-0.890202
0.778074	-0.840274	-0.210798	-0.840274
0.745706	-0.781951	-0.112154	-0.781951
0.711474	-0.715814	-0.012391	-0.715814
0.675464	-0.642525	0.087497	-0.642525
0.637766	-0.562817	0.186510	-0.562817
0.598473	-0.477485	0.283660	-0.477485
0.557685	-0.387382	0.377976	-0.387382
0.515502	-0.293408	0.468515	-0.293408
0.472032	-0.196503	0.554372	-0.196503
0.427381	-0.097634	0.634691	-0.097634
0.381662	0.002210	0.708668	0.002210
0.334990	0.102032	0.775564	0.102032
0.287479	0.200834	0.834711	0.200834
0.239251	0.297630	0.885518	0.297630
0.190424	0.391452	0.927477	0.391452
0.141122	0.481363	0.960169	0.481363
0.091466	0.566464	0.983268	0.566464
0.041582	0.645906	0.996542	0.645906
-0.008405	0.718893	0.999859	0.718893
-0.058372	0.784698	0.993185	0.784698
-0.108193	0.842662	0.976588	0.842662
-0.157744	0.892207	0.950234	0.892207
-0.206900	0.932837	0.914385	0.932837
-0.255539	0.964147	0.869399	0.964147
-0.303540	0.985823	0.815728	0.985823
-0.350781	0.997649	0.753905	0.997649
-0.397146	0.999507	0.684550	0.999507
-0.442518	0.991378	0.608355	0.991378
-0.486785	0.973343	0.526082	0.973343
-0.529834	0.945584	0.438551	0.945584
-0.571559	0.908376	0.346640	0.908376
