#upper limit 	 trapezoidal 	 simpsons 	 guass_quadrature 
2.765553 	 4.224198 	 4.224209 	 4.224593 
2.775553 	 4.261139 	 4.261150 	 4.261536 
2.785553 	 4.298211 	 4.298226 	 4.298612 
2.795553 	 4.335419 	 4.335432 	 4.335821 
2.805553 	 4.372760 	 4.372773 	 4.373162 
2.815553 	 4.410229 	 4.410240 	 4.410635 
2.825553 	 4.447827 	 4.447840 	 4.448237 
2.835553 	 4.485558 	 4.485568 	 4.485970 
2.845553 	 4.523416 	 4.523431 	 4.523831 
2.855553 	 4.561406 	 4.561417 	 4.561821 
2.865553 	 4.599517 	 4.599531 	 4.599938 
2.875553 	 4.637759 	 4.637773 	 4.638181 
2.885553 	 4.676121 	 4.676139 	 4.676550 
2.895553 	 4.714610 	 4.714627 	 4.715043 
2.905553 	 4.753229 	 4.753242 	 4.753660 
2.915553 	 4.791966 	 4.791983 	 4.792401 
2.925553 	 4.830830 	 4.830842 	 4.831263 
2.935553 	 4.869811 	 4.869823 	 4.870248 
2.945553 	 4.908912 	 4.908926 	 4.909352 
2.955553 	 4.948132 	 4.948145 	 4.948576 
2.965553 	 4.987469 	 4.987486 	 4.987919 
2.975553 	 5.026931 	 5.026945 	 5.027380 
2.985553 	 5.066503 	 5.066519 	 5.066957 
2.995553 	 5.106195 	 5.106207 	 5.106650 
3.005553 	 5.146001 	 5.146016 	 5.146459 
3.015553 	 5.185920 	 5.185933 	 5.186381 
3.025553 	 5.225955 	 5.225969 	 5.226417 
3.035553 	 5.266098 	 5.266113 	 5.266564 
3.045553 	 5.306353 	 5.306367 	 5.306823 
3.055553 	 5.346721 	 5.346735 	 5.347192 
3.065553 	 5.387197 	 5.387211 	 5.387670 
3.075553 	 5.427777 	 5.427793 	 5.428257 
3.085553 	 5.468471 	 5.468484 	 5.468950 
3.095553 	 5.509267 	 5.509282 	 5.509748 
3.105553 	 5.550169 	 5.550187 	 5.550654 
3.115553 	 5.591176 	 5.591191 	 5.591664 
3.125553 	 5.632282 	 5.632299 	 5.632775 
3.135553 	 5.673497 	 5.673512 	 5.673989 
3.145553 	 5.714808 	 5.714823 	 5.715304 
3.155553 	 5.756217 	 5.756236 	 5.756718 
3.165553 	 5.797729 	 5.797744 	 5.798232 
3.175553 	 5.839336 	 5.839353 	 5.839843 
3.185553 	 5.881042 	 5.881058 	 5.881550 
3.195553 	 5.922845 	 5.922858 	 5.923354 
3.205553 	 5.964735 	 5.964753 	 5.965250 
3.215553 	 6.006722 	 6.006740 	 6.007241 
3.225553 	 6.048806 	 6.048826 	 6.049323 
3.235553 	 6.090974 	 6.090991 	 6.091496 
3.245553 	 6.133237 	 6.133255 	 6.133759 
3.255553 	 6.175585 	 6.175601 	 6.176111 
3.265553 	 6.218018 	 6.218034 	 6.218549 
3.275553 	 6.260540 	 6.260559 	 6.261073 
3.285553 	 6.303146 	 6.303162 	 6.303681 
3.295553 	 6.345838 	 6.345853 	 6.346374 
